# Testi nuovi o cambiati nella v7. Tipo|chiave|it|en|es|de|fr|pl|pt|ro|ru
# L = contenuto di un controllo, M = messaggio, H = descrizione a comparsa (it|en, oppure tutte e nove le lingue).
M|wgErr_8A150103|File in uso: chiudi l'app e riprova|File in use: close the app and retry|Archivo en uso: cierra la app y reintenta|Datei in Verwendung: App schließen und erneut versuchen|Fichier utilisé : fermez l'app et réessayez|Plik w użyciu: zamknij aplikację i spróbuj ponownie|Arquivo em uso: feche o app e tente de novo|Fișier în uz: închide aplicația și reîncearcă|Файл занят: закройте приложение и повторите
M|wgErr_8A150104|Manca un componente richiesto|A required component is missing|Falta un componente necesario|Eine benötigte Komponente fehlt|Un composant requis est manquant|Brak wymaganego składnika|Falta um componente necessário|Lipsește o componentă necesară|Отсутствует нужный компонент
M|wgErr_8A150105|Disco pieno|Disk full|Disco lleno|Datenträger voll|Disque plein|Dysk pełny|Disco cheio|Disc plin|Диск заполнен
M|wgErr_8A150106|Memoria insufficiente|Not enough memory|Memoria insuficiente|Nicht genug Speicher|Mémoire insuffisante|Za mało pamięci|Memória insuficiente|Memorie insuficientă|Недостаточно памяти
M|wgErr_8A150107|Nessuna connessione a Internet|No Internet connection|Sin conexión a Internet|Keine Internetverbindung|Pas de connexion Internet|Brak połączenia z Internetem|Sem conexão com a Internet|Fără conexiune la Internet|Нет подключения к Интернету
M|wgErr_8A15010A|Riavvia il PC prima di installarla|Restart the PC before installing it|Reinicia el PC antes de instalarla|PC vor der Installation neu starten|Redémarrez le PC avant de l'installer|Uruchom ponownie komputer przed instalacją|Reinicie o PC antes de instalar|Repornește PC-ul înainte de instalare|Перезагрузите ПК перед установкой
M|wgErr_8A15010C|Annullata|Cancelled|Cancelada|Abgebrochen|Annulée|Anulowano|Cancelada|Anulată|Отменено
M|wgErr_8A15010E|È già installata una versione più recente|A newer version is already installed|Ya hay instalada una versión más reciente|Eine neuere Version ist bereits installiert|Une version plus récente est déjà installée|Zainstalowano już nowszą wersję|Uma versão mais recente já está instalada|Este deja instalată o versiune mai nouă|Уже установлена более новая версия
M|wgErr_8A15010F|Bloccata da un criterio di sistema|Blocked by a system policy|Bloqueada por una directiva del sistema|Durch eine Systemrichtlinie blockiert|Bloquée par une stratégie système|Zablokowano przez zasady systemu|Bloqueada por uma política do sistema|Blocată de o politică de sistem|Заблокировано политикой системы
L|chkNvLowLatency|Modalità bassa latenza: attiva|Low latency mode: On|Modo de baja latencia: activado|Modus für niedrige Latenz: Ein|Mode faible latence : activé|Tryb niskiego opóźnienia: włączony|Modo de baixa latência: ativado|Mod latență redusă: activ|Режим низкой задержки: вкл.
L|chkNvNoAnsel|Ansel spento|Ansel off|Ansel desactivado|Ansel aus|Ansel désactivé|Ansel wyłączony|Ansel desativado|Ansel dezactivat|Ansel выключен
L|chkIntelTelemetry|Telemetria Intel spenta|Intel telemetry off|Telemetría de Intel desactivada|Intel-Telemetrie aus|Télémétrie Intel désactivée|Telemetria Intel wyłączona|Telemetria da Intel desativada|Telemetrie Intel dezactivată|Телеметрия Intel выключена
L|chkIntelGfxPower|Piano grafico Intel: prestazioni massime|Intel graphics power plan: maximum performance|Plan gráfico de Intel: máximo rendimiento|Intel-Grafik-Energieplan: maximale Leistung|Plan graphique Intel : performances maximales|Plan grafiki Intel: maksymalna wydajność|Plano gráfico Intel: desempenho máximo|Plan grafic Intel: performanță maximă|План графики Intel: макс. производительность
L|chkIntelDpst|Risparmio energetico del display (DPST) spento|Display power saving (DPST) off|Ahorro de energía de pantalla (DPST) desactivado|Display-Energiesparen (DPST) aus|Économie d'énergie de l'écran (DPST) désactivée|Oszczędzanie energii ekranu (DPST) wyłączone|Economia de energia da tela (DPST) desativada|Economie energie ecran (DPST) dezactivată|Энергосбережение дисплея (DPST) выключено
L|ttlCpu|PROCESSORE|PROCESSOR|PROCESADOR|PROZESSOR|PROCESSEUR|PROCESOR|PROCESSADOR|PROCESOR|ПРОЦЕССОР
L|chkCpuIntelBoostPol|Intel: turbo senza freni di politica|Intel: turbo with no policy limit|Intel: turbo sin límite de directiva|Intel: Turbo ohne Richtlinienbremse|Intel : turbo sans frein de stratégie|Intel: turbo bez limitu zasad|Intel: turbo sem limite de política|Intel: turbo fără limită de politică|Intel: турбо без ограничений политики
L|chkCpuIntelHybrid|Intel ibridi: app in primo piano sui core P|Intel hybrid: foreground apps on P-cores|Intel híbridos: apps en primer plano en núcleos P|Intel Hybrid: Vordergrund-Apps auf P-Kernen|Intel hybrides : apps au premier plan sur cœurs P|Intel hybrydowe: aplikacje na pierwszym planie na rdzeniach P|Intel híbridos: apps em primeiro plano nos núcleos P|Intel hibrid: aplicații în prim-plan pe nuclee P|Intel гибридные: активные приложения на P-ядрах
L|chkCpuAmdParking|AMD Ryzen: nessun core parcheggiato|AMD Ryzen: no parked cores|AMD Ryzen: ningún núcleo aparcado|AMD Ryzen: keine geparkten Kerne|AMD Ryzen : aucun cœur parqué|AMD Ryzen: bez parkowania rdzeni|AMD Ryzen: nenhum núcleo estacionado|AMD Ryzen: niciun nucleu parcat|AMD Ryzen: без парковки ядер
L|chkCpuIdleOff|Processore sempre sveglio (niente stati di riposo)|Processor always awake (no idle states)|Procesador siempre despierto (sin estados de reposo)|Prozessor immer wach (keine Ruhezustände)|Processeur toujours éveillé (pas d'états de repos)|Procesor zawsze aktywny (bez stanów spoczynku)|Processador sempre acordado (sem estados de repouso)|Procesor mereu activ (fără stări de repaus)|Процессор всегда активен (без простоя)
M|cpuDetected|Rilevato: {0}. Si attivano solo le voci adatte a questo processore.|Detected: {0}. Only the entries suited to this processor are enabled.|Detectado: {0}. Solo se activan las opciones adecuadas a este procesador.|Erkannt: {0}. Nur die zu diesem Prozessor passenden Einträge sind aktiv.|Détecté : {0}. Seules les options adaptées à ce processeur sont actives.|Wykryto: {0}. Aktywne są tylko opcje pasujące do tego procesora.|Detectado: {0}. Só as opções adequadas a este processador ficam ativas.|Detectat: {0}. Sunt active doar opțiunile potrivite acestui procesor.|Обнаружен: {0}. Доступны только пункты для этого процессора.
M|cpuUnknown|processore non riconosciuto|unrecognized processor|procesador no reconocido|unbekannter Prozessor|processeur non reconnu|nierozpoznany procesor|processador não reconhecido|procesor nerecunoscut|неизвестный процессор
M|sectionSelect|Tutta la sezione|Whole section|Toda la sección|Ganzer Abschnitt|Toute la section|Cała sekcja|Seção inteira|Toată secțiunea|Весь раздел
M|laptopSelTitle|Computer portatile|Laptop|Portátil|Laptop|Ordinateur portable|Laptop|Notebook|Laptop|Ноутбук
M|laptopSelAsk|Su un portatile è consigliato usare «Consigliati»: «Seleziona tutto» include anche voci che riducono la durata della batteria. Selezionare comunque tutto?|On a laptop «Recommended» is the better choice: «Select all» also includes entries that shorten battery life. Select everything anyway?|En un portátil se recomienda usar «Recomendados»: «Seleccionar todo» incluye también opciones que reducen la autonomía. ¿Seleccionar todo de todos modos?|Auf einem Laptop ist «Empfohlen» die bessere Wahl: «Alles auswählen» enthält auch Einträge, die die Akkulaufzeit verkürzen. Trotzdem alles auswählen?|Sur un portable, «Recommandés» est conseillé : «Tout sélectionner» inclut aussi des options qui réduisent l'autonomie. Tout sélectionner quand même ?|Na laptopie zalecane jest «Zalecane»: «Zaznacz wszystko» obejmuje też opcje skracające czas pracy na baterii. Zaznaczyć mimo to wszystko?|No notebook é recomendado usar «Recomendados»: «Selecionar tudo» inclui também opções que reduzem a autonomia. Selecionar tudo mesmo assim?|Pe laptop este recomandat «Recomandate»: «Selectează tot» include și opțiuni care reduc autonomia bateriei. Selectezi totuși tot?|На ноутбуке лучше использовать «Рекомендуемые»: «Выбрать всё» включает и пункты, сокращающие время работы от батареи. Всё равно выбрать всё?
M|homePcType|TIPOLOGIA DEL COMPUTER|COMPUTER TYPE|TIPO DE EQUIPO|GERÄTETYP|TYPE D'ORDINATEUR|RODZAJ KOMPUTERA|TIPO DE COMPUTADOR|TIPUL COMPUTERULUI|ТИП КОМПЬЮТЕРА
M|homeTypeAuto|Rilevamento automatico: {0}|Automatic detection: {0}|Detección automática: {0}|Automatische Erkennung: {0}|Détection automatique : {0}|Wykrywanie automatyczne: {0}|Detecção automática: {0}|Detectare automată: {0}|Автоопределение: {0}
M|homeTypeDesktop|Computer fisso|Desktop computer|Ordenador de sobremesa|Desktop-PC|Ordinateur fixe|Komputer stacjonarny|Computador de mesa|Computer desktop|Настольный компьютер
M|homeTypeLaptop|Computer portatile|Laptop|Portátil|Laptop|Ordinateur portable|Laptop|Notebook|Laptop|Ноутбук
M|homeTypeHint|Su un portatile «Consigliati» esclude le voci che consumano più batteria. Si possono comunque selezionare manualmente.|On a laptop «Recommended» leaves out the entries that drain the battery most. You can still select them manually.|En un portátil «Recomendados» excluye las opciones que más batería gastan. Aun así puedes seleccionarlas manualmente.|Auf einem Laptop lässt «Empfohlen» die Einträge weg, die den Akku am stärksten belasten. Manuell kannst du sie trotzdem auswählen.|Sur un portable, «Recommandés» exclut les options qui vident le plus la batterie. Vous pouvez toujours les sélectionner manuellement.|Na laptopie «Zalecane» pomija opcje najbardziej zużywające baterię. Nadal można je zaznaczyć ręcznie.|No notebook, «Recomendados» deixa de fora as opções que mais gastam bateria. Você ainda pode selecioná-las manualmente.|Pe laptop, «Recomandate» exclude opțiunile care consumă cel mai mult bateria. Le poți selecta totuși manual.|На ноутбуке «Рекомендуемые» пропускают пункты, сильнее всего расходующие батарею. Их можно выбрать вручную.
H|chkNvLowLatency|Come «Attiva» nel Pannello di controllo NVIDIA: il processore prepara un solo fotogramma in anticipo. Più compatibile di «Ultra», che con alcuni giochi e con G-SYNC crea scatti.|Like «On» in the NVIDIA Control Panel: the processor prepares just one frame ahead. More compatible than «Ultra», which stutters with some games and with G-SYNC.|Como «Activado» en el Panel de control de NVIDIA: el procesador prepara solo un fotograma por delante. Más compatible que «Ultra», que da tirones con algunos juegos y con G-SYNC.|Wie «Ein» in der NVIDIA-Systemsteuerung: Der Prozessor bereitet nur ein Bild im Voraus vor. Verträglicher als «Ultra», das mit manchen Spielen und G-SYNC ruckelt.|Comme « Activé » dans le Panneau de configuration NVIDIA : le processeur ne prépare qu'une image d'avance. Plus compatible que « Ultra », qui saccade avec certains jeux et avec G-SYNC.|Jak «Włączone» w Panelu sterowania NVIDIA: procesor przygotowuje tylko jedną klatkę naprzód. Bardziej zgodne niż «Ultra», które przycina w niektórych grach i z G-SYNC.|Como «Ligado» no Painel de controle NVIDIA: o processador prepara só um quadro à frente. Mais compatível que «Ultra», que trava com alguns jogos e com G-SYNC.|Ca «Activat» în Panoul de control NVIDIA: procesorul pregătește doar un cadru în avans. Mai compatibil decât «Ultra», care sacadează cu unele jocuri și cu G-SYNC.|Как «Вкл» в Панели управления NVIDIA: процессор готовит только один кадр вперёд. Совместимее, чем «Ультра», которая даёт рывки в некоторых играх и с G-SYNC.
